Font: Liberation Sans  Style: Regular
Point Size: 146   Padding: 10   SP/PD Ratio: 6.8%

Characters included: 358/775
Missing characters: 417
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 9	Hex: 9	Char [	]
ID: 8208	Hex: 2010	Char [‐]
ID: 8229	Hex: 2025	Char [‥]
ID: 8251	Hex: 203B	Char [※]
ID: 8451	Hex: 2103	Char [℃]
ID: 8491	Hex: 212B	Char [Å]
ID: 8658	Hex: 21D2	Char [⇒]
ID: 8660	Hex: 21D4	Char [⇔]
ID: 8704	Hex: 2200	Char [∀]
ID: 8707	Hex: 2203	Char [∃]
ID: 8711	Hex: 2207	Char [∇]
ID: 8712	Hex: 2208	Char [∈]
ID: 8715	Hex: 220B	Char [∋]
ID: 8733	Hex: 221D	Char [∝]
ID: 8736	Hex: 2220	Char [∠]
ID: 8741	Hex: 2225	Char [∥]
ID: 8743	Hex: 2227	Char [∧]
ID: 8744	Hex: 2228	Char [∨]
ID: 8746	Hex: 222A	Char [∪]
ID: 8748	Hex: 222C	Char [∬]
ID: 8756	Hex: 2234	Char [∴]
ID: 8757	Hex: 2235	Char [∵]
ID: 8765	Hex: 223D	Char [∽]
ID: 8806	Hex: 2266	Char [≦]
ID: 8807	Hex: 2267	Char [≧]
ID: 8810	Hex: 226A	Char [≪]
ID: 8811	Hex: 226B	Char [≫]
ID: 8834	Hex: 2282	Char [⊂]
ID: 8835	Hex: 2283	Char [⊃]
ID: 8838	Hex: 2286	Char [⊆]
ID: 8839	Hex: 2287	Char [⊇]
ID: 8869	Hex: 22A5	Char [⊥]
ID: 8978	Hex: 2312	Char [⌒]
ID: 9473	Hex: 2501	Char [━]
ID: 9475	Hex: 2503	Char [┃]
ID: 9487	Hex: 250F	Char [┏]
ID: 9491	Hex: 2513	Char [┓]
ID: 9495	Hex: 2517	Char [┗]
ID: 9499	Hex: 251B	Char [┛]
ID: 9501	Hex: 251D	Char [┝]
ID: 9504	Hex: 2520	Char [┠]
ID: 9507	Hex: 2523	Char [┣]
ID: 9509	Hex: 2525	Char [┥]
ID: 9512	Hex: 2528	Char [┨]
ID: 9515	Hex: 252B	Char [┫]
ID: 9519	Hex: 252F	Char [┯]
ID: 9520	Hex: 2530	Char [┰]
ID: 9523	Hex: 2533	Char [┳]
ID: 9527	Hex: 2537	Char [┷]
ID: 9528	Hex: 2538	Char [┸]
ID: 9531	Hex: 253B	Char [┻]
